observed,location_details,county,state,season,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,uv_index,visibility,wind_bearing,wind_speed,year
"It was a friday, April 20th 2001. I was doing salmon Habitat surveys for the Dept of Fish and Wildlife. My partner and I had gone up to do our Steelhead index in Fall river. He had dropped me off on the 7000 bridge to walk my 1/2 mile section while he drove to mid point and walked lower section where Boss creek comes in. I finished my section of the stream and drove down the 7083 to where the road ends to pick him up. It was probably around 11 or 11:30. I got out of the truck to pour myself some coffee when i heard this loud scream. i heard it twice and it sounded almost like my partner was calling my name. Con...nie!!! I listened and then I heard this strange animal cry. it sort of made a Mraaa...Mraaa...Mraaaa.. sound. I could tell it was coming from down in the stream area. I thought possibly a bear cub or bobcat? It was definitely in distress. then I could hear the sound of rocks smashing onto the gravel bar as if someone was picking up big boulders and smashing the rocks. i thought my partner might have found some large agates and that is why he was calling me. (we love to rock hunt this area) but again I heard the animal cry..Mraa Mraaa.. and more rocks being smashed. I started to walk to our trail (about 30 feet away) to see if I could see my partner or what was making the noise when i could hear the brush crashing and some mumbling noise. i thought ""who the heck is Tom talking to?? Is someone down there killing animals? did he have an encounter with something? someone? and is he fending it off? with rocks?"" But the mumbling just sounded like they were having a conversation. I walked to the edge of the brush where the trail leads down to stream, I couldn't see anything (pretty brushy) and It was raining. I had a horrible cold/sore throat and didn't feel like walking down the trail and upstream to meet him (which is what I usually do to look for rocks) not to mention I was feeling a bit uneasy. Something kept telling me to NOT go. I was even afraid to holler his name. I had no idea what was going on in the stream and who or what was there.  I started back to the truck and heard the brush behind me crashing. I turned thinking it was Tom..and.. no one. each time i started back to the truck (only about 30 feet away) the brush would crash again. still not Tom. i just jumped inside the truck and waited. He was now running a bit later then normal and i had no idea what i would do. no radio and cell phone service to call for help if he didn't show or was hurt. It seemed like about 15 to 20 minutes went by when i saw him coming up a different trail (off to my right, not the left where he should be) (from he mouth of boss) I got out to ask him what the heck he had been doing down there and he informed me that when he got to our trail to get out of the stream, there on the gravel bar was a freshly killed deer, steam rising from it and blood coming off it, and the brush was splattered with blood maybe as high as 8 to 10 feet. But the worst part was, the upper torso (stomach to head) was gone...it was ripped in half and there was a bloody trail going straight up our trail, practically in front of our truck and across ridge to boss creek. I sort of wanted to go down and look at the animal (with him) but my partner wanted nothing to do with it. We got out of the area in a hurry in case whatever came back to get the rest. He said he had never heard any sounds. Just came upon the dead animal. AND did NOT even look for foot prints of any kind. He just wanted to get past it quick. I cannot believe whatever was there nearly walked in front of me with that upper carcass and I did not see it. my husband and i planned to go back the next day to see if there was anything left but it rained and rained so hard for the next few days that we never got back. It was over 2 weeks before we could go back to survey that area again. I refused to walk that section. in fact, I didn't want to walk any of it. My partner did. there was nothing on that gravel bar (no bones, no hair, nothing). when I finally did walk that area, i came across a large pile of scat on that same gravel bar. HUGE.. not sure what it was. I left ASAP. I sent in a report to Fish and Wildlife. we did get radios for our vehicles after that.","There are several ways to get up to Fall river. there is a fish ladder on the river below where our incident was. but going through Brooklyn towards Oakville, taking the M500, to the M600 onto the H-line to the 7800 (left) then it tuns into 7000. then right on 7080 and stay left onto 7083. runs along Fall river and ends. walk out to edge of trees and you can see Boss on right and Fall on left. Your not up to high, but you can look down into the rivers. It's in Pacific Co but pretty close to Lewis Co border.",Pacific County,Washington,Spring,Report 29700: Salmon surveyor has unusual experience near confluence of Fall River and Boss Creek,46.71103,-123.4013,2001-04-20,29700,Class B,c221xzmzmr,56.22,46.465,36.71,39.71,0.85,0.38,0.9,0,0,NA,1012.04,Partly cloudy until evening.,7,9.6,284,2.91,2001
"My friends and family and I were Kayaking across Sullivan Lake in North Eastern Washington. We had spent the entire day slowly making our way around the side of the lake that is unpopulated (there is a highway on the opposite side of the lake). We ""beached"" at the far end of the lake where there was a small campground/swimming area, and it was there that me had lunch and let the teenagers swim and mess around. All of the adults felt very uneasy as if we were being watched and we made sure we kept the families close together. When we had to use the out houses we walked together and returned quickly to the beach. As we were beginning to leave the beach several of us noticed a rope swing on a very steep bank of the lake only about a hundred yards from the swimming area. I was among the last ones into a boat so by the time I came to the area of the rope swing, the others had already passed it and were quite a ways ahead of me (approx. 200 yards ahead). I was just daydreaming and enjoying the scenery,  ( and to be honest with you glad to be away from the uneasiness that I had felt at the beach )when a movement caught my eye near the rope swing. AT first I couldn't focus on what it was and it took me a moment to realise what I was looking at. There next to the rope swing on a stump sat an old man.He was very tall and dressed in grey from head to foot.( My own father is 6'6"" and I remember thinking to myself that this old man must have had him beat by at least 10 inches!) His legs were crossed and he had his hands clasped in front of his upper knee. I smiled and waved to him as I floated closer to him. He didn't move. He was tottaly still and watched me very intently. AS my boat passed in front of him (about 15 yards), I realised that this man wasn't wearing any clothes at all and he was covered completely with a very thick silver fur! Even his eyes were almost completely hidden from a thick (eyebrow?)of silver fur. WE stared at each other the entire time I passed by him, myself with my jaw gaping (I'm sure), and he just quietly sitting very still. AS soon as I looked ahead to see where everyone else was at and then looked back toward the rope swing, he was gone and just the branches of the bush that was near it was moving. I have never seen anything like it before in my life. I thought I was honestly seeing things until my niece pulled me aside later that evening and asked me if I had seen the Sasquatch that was sitting by the rope swing. I honestly have never really given much thought to Bigfoot before that day.  I had passed close enough to him to actually see the direction the fur was growing in! It was mostly all one direction (down)like a dog's hair, except around his eyes were it seemed to stick straight out.","I am not sure as to how to get to the actual campground spot except by boat! We put in our kayaks at the Noisey Creek campground at Sullivan lake, and kayaked around the right side of the lake (unsure what direction that was)to the swimming hole and campground that was on the far end of the lake. The rope swing was only about a hundred yards from the beach on the right side(heading in)of the lake.",Pend Oreille County,Washington,Summer,Report 6303: Woman kayaking with family at Sullivan lake sees bigfoot,48.83558,-117.2776,2003-07-17,6303,Class A,c2stg61pcg,86.86,70.35,53.84,34.68,0.28,NA,0.64,0,0,NA,NA,Clear throughout the day.,0,NA,188,0.75,2003
"My buddy Terry and I decided to head up for a weekend at Sullivan Lake, to do some fishing, and to just get away from it all.  We got to our spot on the lake, a little spot away from the campgrounds on the south end of the lake. It was a few hours before the sun went down. We had plenty of time to set up a tent and to cook a nice dinner.  After we had put out the fire, we both got in our sleeping bags and dozed off.  I dont know how long we were out, but some time later in the night, Terry and I were both woken up by some large crash that sounded maybe 100 or so yards away. When we opened up the tent and got out to investigate, we both looked at eachother and asked eachother, do you smell that?  Something in the air smelled musty, almost rotten.  We both had our flashlights handy, but because of the trees that surrounded us, it was hard to see anything very far away.  We both called out to see if any person was in the area, which there shouldnt have been, with how far away from the campground we were. After about 5 minutes of just scanning we figured it was nothing of importance and decided to just forget it.  Almost the instant we got inside the tent we heard an even louder crash that sounded like it was only 10 to 15 yards away from our site.  Terry and I both frantically searched for anything we could find to protect ourselves from whatever was outside. The best we could do was to pull out our pocket knives. I heard something like a grunt coming from the side opposite of the door of the tent, so I shined my flashlight out of the mesh window and I saw something.  Just past the clearing of our site, I could make out a tall shape and some gray fur, on something that stood maybe 7 to 9 feet tall. Maybe the flashlight scared it, or maybe it just wanted to investigate, but as soon as i turned my flashlight on it, it ran fast through the woods. Before i could walk out the door to shine my light on it and see it better, it was already gone.  Terry stood outside of the tent, and was shaking when i first saw him in the light. We both decided to spend the rest of the night in my truck, and lock the doors.  We spent the next day fishing, but didnt want to have another night like the one before, so we packed up and left.",NA,Pend Oreille County,Washington,Spring,Report 11186: Possible sighting near Sullivan Lake,48.79056,-117.2833,2005-04-18,11186,Class B,c2ste4hct5,53.7,43.305,32.91,30.03,0.66,NA,0.32,0,0,NA,NA,Clear throughout the day.,0,NA,40,0.64,2005
"In July 2005, my son and I were prospecting in Pend Oreille Co,Wa.  just outside Metaline Falls City.  We had been asleep for a couple of hours when I was awoke by the smell of wet fur. I got up to go relieve myself while looking at the creek when I spotted something walking across the creek about twenty feet away from my truck. I quickly went back to my truck and tried to wake my son to no avail. While doing this I grabbed my rifle and stepped away from the truck where I chambered a round and watched until the figure stopped by a tree next to the bank, then told my son to hit the remote button to unlock the truck and turn on the bed light to shine out towards the creek.  This I did several times until I felt safe again. I could not see the figure anymore so I went to bed. I've been hunting and fishing also prospecting for over thirty years so I know the differance between bears and what I saw in the moon light and it wasn't a bear.",Near Sullivan Lake - [location specifics removed].,Pend Oreille County,Washington,Summer,Report 13503: Possible moonlight sighting by prospector outside Metaline Falls City,48.86479,-117.3672,2005-07-27,13503,Class B,c2stcpxf41,89.1,73.8,58.5,43.8,0.36,NA,0.73,0,0,NA,NA,Clear throughout the day.,0,NA,176,0.55,2005
"R. and I were walking up the road at about 6:30 pm. We were doing a follow up investigation of the area after hearing of a sighting of bigfoot. We had some wood and paper but I forgot matches at the truck so we had to turn around and walk back to the truck. We had walked through a half mile of woods and through a clearcut about half mile wide. On the way back to the truck and upon leaving the clearcut and entering the woods, I felt the hair raise on the back of my neck and I thought it might be because it had gotten dark and my senses were playing tricks on me. But after walking through the woods a quarter mile and getting closer to the truck, we both heard very distinct and loud knocking of a piece of wood striking another piece of wood about 12 - 15 times. The noise was coming from near my truck. Then we heard two more and it stopped. We got to my truck and I realized I had left my dome light on. We grabbed my spotlight and waited near the truck for a half hour to hear more knocking and we also knocked two pieces of wood together ourselves but couldn't get a reaction. I shined the spotlight into the forest and suddenly we heard what sounded like a big man take off at a sprint though the woods. I know what deer and elk sound like and this sounded like two feet running through the woods at a sprint. This was no deer or elk. My heart started pounding. We waited at the truck until 8 pm when another truck came down the road so we left. We didn't hear anything else but noticed the dogs would start barking in certain areas and then stop but I didn't think that was significant evidence of anything unusual.",NA,Pierce County,Washington,Winter,Report 1584: Loud knocking of wood striking another piece of wood,47.00444,-122.5386,2000-03-13,1584,Class B,c22g7sfhew,56.65,50.53,44.41,41.72,0.85,0.94,0.27,0.0243,1,rain,1017.29,Rain starting in the afternoon and breezy overnight.,3,7.64,214,2.44,2000
"I was taking a walk up the path I had been excavating through my woods. I had been doing this by hand the previous day. I wanted to make a loop path through the thick vine maple and hazelnut brush on my property, when I suddenly got spooked for no discernable reason. I stopped and looked around, when I was growled at by something that sounded like a dog back in the woods. I had my gun, and thinking it was a coyote, I advanced and heard it running through the woods. Later, I looked around by the front of my woods behind my burnpile, and found odd looking feces. Full of a light colored hair. The next day, I went into my woods again early in the morning, and in the same spot, I heard a loud knocking like someone with at least a six inch rock banging it on a tree just out of sight. Within fifty feet of me. Once again, I looked for it, but found no sign, but for no real reason, I was scared even with a .45 cal handgun in my hand. Decided to report this after reading other accounts from pierce county similar to mine.",NA,Pierce County,Washington,Summer,Report 337: Man working his land hears rock against wood sound and distant answer,47.0044,-122.5386,2000-08-16,337,Class B,c22g7sfh7x,75.81,61.03,46.25,48.06,0.64,0.12,0.55,0,0,NA,1024.39,Clear throughout the day.,7,8.82,292,1.04,2000
"At about 9pm, on October 7, I was driving down a private lane near the Orting-Kapowsin highway. I was on my way to farm-sit for my friends, who have a large piece of property in woods and pasture. It was full dark, with scattered lights from houses and pole lights in some yards. A 4-foot cyclone fence ran alongside the lane, with open gates at intervals. I passed a man walking in the same direction on my left, and shortly after passing him, I noticed someone else moving on the other side of the fence, through the yards. I turned my head to get a better look, and saw the figure from the side and behind as it passed me going the opposite direction on my left. The 'person' was extremely tall and broad. I thought for a minute that it might be a bear, but it was moving completely upright, with the gait of a man. I probably saw it cover about 100 feet very quickly, and it was soon out of my field of vision. The figure was completely uniform in color, with no lines of demarcation that would indicate clothing or skin. Then, with a sense of wonder, I realized that it must have been a Sasquatch. Possibly the line crew working down the street, which had lots of flashing lights going, drove it off its normal path. I don't know why I didn't stop the car to get a better look, except that I was tired and already late getting there. As I got out to unlock the gate, I had a few seconds of trepidation, but was soon greeted by the three large dogs I had come to tend, so I felt secure. That night, I left all the outdoor lights blazing.  About midnight, I was startled awake, but I don't recall what the sound was. The dogs went crazy, and made so much commotion that I had to let them out. Once outside, they just ran around in circles sniffing. They calmed down right away when I let them back in. In the morning, I looked to see if there was something in one of the yards that I could have mistaken for the figure I saw, but I could find nothing. I checked again the following night, in case it was a shadow or something, but again, there was nothing there. I don't think that there would be footprints, as the ground is extremely rocky there, and it has rained heavily since then. The following weekend, leaving early on Sunday morning, I heard a strange scream coming from the woods. I chose to think it was some kind of bird, but it was definitely unusual, and definitely not the peacock which lives in the pasture. On the 21st , I was locking the gate as I left, and the neighbor came out to talk. I told him my story, and he told me that a week or so earlier, he and his wife had been awakened by a loud scream right outside their bedroom. He felt whatever it was must have been inside his fence, a five-foot solid wood enclosure. They were both frightened by it, and had never heard that sound before or since. He also told me he had heard rumors of a couple other recent sightings in the area, but he didn't elaborate.","I was driving west after turning off the Orting-Kapowsin Highway. I sighted the bigfoot about halfway down the lane on the left. At the end of the lane, a left turn onto a gravel road takes one past 3 houses to my friends' gate. The neighbor I spoke with lives in the last house on the right before the gate.",Pierce County,Washington,Fall,"Report 495: Passing motorist observes a tall, hairy animal in the headlights along a side road just off of the Orting-Kapowsin Highway",47.0274,-122.3003,2000-10-07,495,Class A,c2358cpdkq,74.76,59.35,43.94,38.93,0.61,0.06,0.32,0,0,NA,1015.06,Partly cloudy overnight.,4,8.41,209,2.14,2000
"I was letting my dogs go for a run in the woods off of the McKenna cut-off road in Pierce County. I was only about a quarter of a mile into the walk when my dog, Einstein (an Akita/Shepard mix), stopped ahead of me on the trail. He was blocking the trail facing towards the bushes on my left (East), he had his hackles up and was growling. My other dog, Bandit (Border Collie/Chow mix), had just stopped and barked once and then ran back behind me continuing to play. I walked up to Einstein thinking there was a little animal or something in the bushes. When I got up next to him I heard the bushes rattling off to my left and when I looked over in that direction I saw something really big standing next to a tree about 40' away from me, seemed to be shaking the limbs on the tree to make noise. I also got the feeling it was looking at me but it didn't move behind the tree or crouch down to hide. I also didn't feel threatened. I thought it might be a big bear because of the shape of it's body. It was a dark color, I couldn't make out any facial features or see how long the arms were. The shoulders were quite broad and there didn't seem to be a neck. Because it never got down I thought it a transient person, but if it was a transient they were dressed in a dark parka with the hood pulled up and were wearing alot of bulky clothing with the tempature above 70. I grabbed Einstein and we turned around to head back to the truck. Bandit was running ahead of me. Every once in a while I would look back and eventually I saw what ever it was walking upright down the road away from me. The trees blocked the upper part of the body but I could see the lower part of the legs, I didn't see any boots or shoes or clothing. At one point Bandit was running along the highway and I yelled really loud for her to come to me and when I look back down the trail it looked like whatever it was was now headed towards me, going in and out of the bushes on the right side of the old road. I know it wasn't a bear and it sure didn't look like it was a human walking towards me. I couldn't get the dogs in the truck fast enough, but when I did I looked back down the road and didn't see anything. I've got to say I never really believed in Bigfoot, but I do now.",Hwy 702 is the McKenna Tanwax cutoff road.  I was about 1-2 miles west of Hwy 7. There is a pullout on the south side of Hwy 702 right across from a Century 21 for sale sign.  The street sign says 34 Av S. You can see an old vehicle path heading south into the woods. I was about a quarter of a mile into the woods. I could just see the front of my truck when I turned around to head back.,Pierce County,Washington,Spring,Report 2303: Woman see's dark upright man-like figure while walking dogs,46.9382,-122.382,2001-04-25,2303,Class A,c22gp0u4ud,73.04,59.85,46.66,51.24,0.76,0.57,0.07,0,0,NA,1018.49,Mostly cloudy throughout the day.,7,7.77,19,4.18,2001
"My Wife and I stopped at a view spot to enjoy one last look at the river valley below. We were stationary, enjoying the view. Then, we both perceived what looked like a tall man in a trenchcoat walking along the river bed. The trenchcoat guy in question was traveling left to right up the Carbon river bed from my point of view.I would guess 500 yards away total. 300 yards out, and 200 yards below our state of elevation. My first perception of this visual was with in one second met with confusion. I remember this objects gate was very strong making good time across a boulder garden section of riverbed. The easy going swing of the arms was so natural, so at home cruising with ease across boulders and rocks. So smooth, like walking on a sidewalk. The legs went far out to make big steps. As that first second of visual recognition happened, I noticed how there was no clue of clothes or shoes. What I originally thought was a trenchcoat quickly gave way to questions in the mind over the next micro seconds. There is no sleeve ending into hands, but a continuity of dark color all the way to the finger tips. Same thing with the feet area, no shoes! I will call this a ""HE"" from here on out because that's what my gut is telling me.  Though a couple paragraphs in words, only 2 seconds at this point observing this creature walking up the valley river bed. About the 2 second mark I glance at my Wife and she at me who is standing directly next to me. Then we look back, and this guy is up until now been walking. Looking straight ahead of him self... Here is the cool part of the story. About the moment we look back in unison, thinking ""just what IS THAT?"" Thinking, not saying. He just cocks his head completely to his side and up to meet our eyes instantly! And holds my eyes in his, while he is still walking...Then He goes behind a tree line between us and that's when I say ""I think its Time to Go"". My wife said ""Yep"" and we jumped back on our bikes and blazed up the dirt road back to our car. Both of us were shaken a little. I feel that what I saw was a Hairy Mountain Man that showed high intelligence, through the fact that he some how ""picked up on us"" watching him...  His eyes looked deep into mine for at least 2 seconds. Lots going on in that set of eyes that I remember to this day 5 years later...","If you google Wilkeson, Washington.follow SR165 to the right, and follow Carbon river road split untill you see the wide spot of the Carbon river just before Fairfax. There is a yellow gate that is locked most of the time. on the left hand side of road . just enough room to park with out blocking gate. This old logging dirt road takes off at 30 degrees split off of Carbon river road,looks like a doglegg really, if the gate was not in place. walk down this dirt road about an 1/8 of a mile down round the corner to a view spot where you get your first clear view of the river below.",Pierce County,Washington,Spring,Report 16364: Family on bikes sees black hairy creature walking in a riverbed near Fairfax,47.01562,-122.0282,2001-05-01,16364,Class A,c235rnvvbf,50.8,43.004999999999995,35.21,39.65,0.85,0.72,0.29,NA,NA,rain,1025.94,"Breezy starting in the afternoon, continuing until evening, and light precipitation in the evening.",5,8.62,221,11.8,2001
"Well, my dad had taken me, my sisters, brother, and step mother out for a day of 'rock hunting' so that he could find the rare and odd rocks that he loves to go and find in the mountain areas. Me and my younger sister were walking along a trail that my step mother and youngest sister had just come from, they had said it was a nice trail and that we should check it out. So we did. About...a fourth of a mile towards a half of a mile down the trail me and my sister stop at this little creek, we stay there for a while playing in the water, I wanted to continue down the trail, but my sister freaked out on me, telling me that she had a very bad feeling and wanted to go back to where my dad and the others were. I told her it was ok and eventually convinced her to head down the trail a bit more, however once we started off again something charged at us from a wooded hill that was right next to me. We heard this horrible terrifying howl/growl coming towards us as the trees and bushes moved around as if a truck was coming through them. All i saw was a black figure and I started running, I yelled to my sister to get the hell out of there, me and her both cursing and running as fast as we could over the trail, now that I recall the trail was a dirt bike trail, i still don't know the exact location, it was a while ago. Anyways as we ran back I fell and hit my ribs, i couldn't run any longer and looked back to make sure whatever the hell it was, wasn't chasing us, and nothing was there, my sister wouldn't stop so i had to keep going, even though I was so out of breath I couldn't run anymore. She wouldn't stop. When we got back we were both crying and so scared that we left right away with everyone because we couldn't stay there any longer. We were to scared. I thought at the time it was a bear, or a cougar, then on the way home i realized those don't sound like that, i know what those sound like, and whatever was chasing us did not sound like a bear or cougar. After hearing some prerecorded, suposed, whoops and howling from bigfoot in my area, it got me scared becuase they sounded so similar to what me and my sister heard","Rock quarry type area, thick woods, on a dirt road, im sorry i cant be more specific than that. Take Hwy 410 past Enumclaw.  Continue past Greenwater to FR 70. Take FR 70 for 12 miles.  Look for the two gravel pits. The trial is behind the second.  (Scott Taylor)",Pierce County,Washington,Summer,Report 21807: Teenage girl and her younger sister chased out of the woods near Greenwater,47.09685,-121.45,2002-07-15,21807,Class B,c23eumdz1c,75.07,61.355,47.64,45.94,0.68,0.16,0.2,0,0,NA,1016.55,Clear throughout the day.,10,8.78,255,2.11,2002
"It was about 7:30 on Friday the 15th of November. It had been dark for a couple hours and had been raining all day. I was wood working on my front porch. Several houses exist in the woods around me, but the properties are large and wooded, and civilization only diminishes as you head South. Our neighbors live about 20 yards East of us, and ten yards beyond their house are old growth cedars, maples, and firs. They weren't home at the time. I was in the middle of using my cordless drill, when I heard this call come from the woods. I instantly stopped drilling and listened. The first thing I thought was ""That's loud!"". It started in a low moan-like sound and climbed to almost a scream. The sound lasted steadily for three seconds, then was followed by two to three short whooping sounds. At that point I was severely freaked and was already heading inside. I only report it because it seems consistent with other reports I've read. Two days later, I down-loaded a Bigfoot scream, and the hair stood up on the back of my neck when I played it. That is what I heard.",Witness wishes the location to be kept confidential,Pierce County,Washington,Fall,Report 5725: Man hears loud vocalization while woodworking on his porch,47.0586,-122.2864,2002-11-15,5725,Class B,c2359qcb0q,50.4,44.305,38.21,41.39,0.94,0.68,0.37,6e-4,1,rain,1020.41,Mostly cloudy throughout the day.,1,7.57,174,1.19,2002
"Im a gunsmith in Seattle WA. I was out deer hunting on 11/16/02 east of GREENWATER WA. off of FSRD.73 approx. 12 mi. in off of RT.410 high up on a mountain 200 yds from Mt. Rainier N.P. Approx. 8:30am I was slowly working my way down the frozen dirt rd watching for any movement when about 300 yds down the road my eye caught a movement. It was black & coming toward me. At first glance I thought it was a bear but as I watched it I could see it was walking upright so I assumed it was a man.& I thought ""What the hell is this idiot doing up here in the middle of nowhere during deer hunting season dressed like that without a stitch of blaze orange on..God, he's even wearing a black stocking cap He's just begging to get shot. It kept walking towards me and I was taking small quiet baby steps toward it. All I could see that wasn't black was a kind of round lighter gray area where its face was. I didnt think it could see me cause I was headed down hill & the uphill road was at my back.It was windy & overcast& was even snowing on the peaks above & behind me.After it walked toward me..some 50 yds.to about 250 yds..all of a sudden it stopped & I froze in my tracks cause I knew it had seen me. In the blink of an eye it leaped from my side of the road( I was in the left tire track walking downhill) All the way across the road cleared the road & 4 or 5 ft. to the thick trees & disappeared. When it lept or bounded, I could see no distinction between the two legs. So I quickened my pace as I thought ""What the hell was that!!"" I got to a small grass road where there was a place where another campsite was About 60 yds from where this thing hit the trees,I made a mental mark where it went in, The grass road went in about 40 yds and then I was looking straight down off the ridge. I sat down on a pile of big deadfall and waited, figuring it would either come toward me or away from me..as it sure as hell wouldnt go over that ridge. After 20 mins. or so, I walked back out to the dirt road and went down to where I thought it had gone into the trees..as the mud in the dirt rd was frozen, I couldnt find any tracks..hell, I wasnt even leaving any tracks..I searched up & down the tree line it was so thick w/ under brush I couldnt find any tracks there either..But I knew that if it was a bear or any big animal w/ claws, it would have left at least claw marks when it leaped!",East on Rt. 410 out of Enumclaw WA. Past Greenwater to FSRD. 73 turn right on 73 go across bridge over Huckleberry creek(approx. 5 mi.) keep going straight uphill to mile marker 9 50 yds. past the mile marker go left on the dirt rd.about a mile I saw it about a half a mile from the end of the road,Pierce County,Washington,Fall,Report 5331: Upright creature walks on two legs towards hunter near Mt. Rainier National Park,47.0019,-121.6279,2002-11-16,5331,Class A,c23e2k3mbt,39.3,36.26,33.22,32.17,0.94,0.61,0.4,0.0082,1,rain,1011.72,Mixed precipitation starting in the afternoon and breezy in the evening.,1,7.7,269,2.97,2002
"April? 2003 Washington state. A friend and I drove from Seattle towards Mount Rainier. Heading south on the 164/410 we pulled off onto one of many dirt roads just a few miles south of Enumclaw. I drove a few miles and parked. We hiked in the forest for a few hours and when we tried to get back to the freeway someone had locked some yellow gates on all the access roads. We had to spend the night in the car and right after dark we began hearing what sounded like hard wood beating on soft wood(like someone hitting a tree with a baseball bat) very close, maybe within 100 ft. We were terrified and drove around the access roads for a few miles and within minutes of shutting the car off it started again very close. This was not just a loud noise echoing all throughout the woods, even from inside the car I could definately tell this was within throwing distance and directed at us. We left and drove several miles again and again minutes after the car stopped the noise started again. We drove until we found a road that was seperated by just a ten foot ravine from the freeway and still it started, this time more distant in the forest. It lasted for the next couple of hours until the sun rose. I swear to god this is the truth, I have no reason to lie.","Maybe 5-10 miles south of Enumclaw on the 410. The forest was recently taken by Wyerhouser? unsure of spelling. We made a right on a dirt road that had a small yellow bar-gate, open at the time, and just followed it over a small bridge that crosses over White river. There were a few dirt roads before this one off the 410 and they all connect. At the time it looked like they had just begun logging the area.",Pierce County,Washington,Spring,Report 9447: Unusual sounds heard near Enumclaw,47.16145,-121.8943,2003-04-05,9447,Class B,c23k61rr2g,40.65,38.57,36.49,35,0.92,0.95,0.12,0.0064,1,rain,1014.25,Mixed precipitation starting in the evening.,4,8.8,180,3.12,2003
"I was heading to my home in So. Calif after vacationing in the Bella Coola region of British Columbia. It was getting late around 11:00 PM so I decided to pitch my tent just for the night off a Forest Service Rd. heading south from State Highway 410. I was wide awake reading a magazine inside my tent when I heard a distinct animal vocalization essentially identical to the recordings on the BFRO website listed as the Puyallup and Snohomish recordings. The call consisted of a 20 to 30 second duration ""shriek/howl"" and multiple ""bark/grunts"" of short duration lasting about 90 seconds. My Golden Retriever was sound asleep for most of the vocalization but woke up for the last 15 seconds and immediately bacame alert peering out into the darkness. I was surprised at his reaction due to the fact I could barely hear the grunts near the end of the incident and I thought my dog was pretty hard of hearing as he is 11 years old.",The vocalization sounded at least a mile away due west from my location on Mt. Baker Snoqualmie National Forest Route 7160 approximately .6 miles from Washington Highway 410,Pierce County,Washington,Fall,Report 6990: Scream heard while staying overnight near Greenwater,47.0228,-121.5497,2003-12-09,6990,Class B,c23ed04pwt,32.04,30.445,28.85,26.58,0.88,1,0.53,3e-4,0.77,snow,1017.39,Foggy throughout the day.,1,1.06,82,1.56,2003
"Spring of 2005 mid after noon we drove up to a place we call the Oasis (a pond on the top of one of the foot hills on Skate Creek (Mt. Rainier but I believe it is GP national forest) its a ways up there and some 4x4'n is needed to get there. When we got there and got out of the car you could hear a noise that sounded kind of like a monkey noise....ooh ooh ooh....it was repetative and I didnt think anything of it at first. So we hike up the hill side to where the noise is coming from and where the pond is, and we discovered a foot print while the whole time still hearing this noise, ooh ooh ooh, short and sharp but monkey like. At one point we felt as if it ran right up behind us as if to scare us but we didnt hear any brush crashing or anything but the noise got closer and you could actually like hear it in the back of his throat. Nothing real exciting or more than circumstantial but when we returned again a few months later the noise was not there.","Hwy 7 past Ashford, take a right before you see a sign for the national park. This road turns into Skate Creek Rd. It's a dirt road on the left.  Go right at an over pass between mile marker 12 and 14. Drive all the way up. Take a right at the first fork then stay to the left. You will need a 4x4 vehicle. 4x4 vans will not make it.",Pierce County,Washington,Spring,Report 12655: Possible tracks and vocalizations outside Ashford,46.75861,-122.0297,2005-11-02,12655,Class B,c234p0hstu,47.2,43.615,40.03,34.95,0.76,NA,0.02,9e-4,0.39,rain,NA,Clear throughout the day.,0,NA,89,0.84,2005
"I WAS CAMPING NEAR BAKER LAKE, IN THE BAKER- SNOQUALMIE NATIONAL FOREST. I HAD GONE FOR A DRIVE DOWN THE MAIN ROAD NEAR THE CAMPGROUND. I TURNED OUT OF THE SHANNON CREEK CAMPGROUND EXIT BACK ONTO THE MAIN ROAD. AT THE STOP SIGN JUST BEFORE I TURNED, I HAPPENED TO LOOK UP THE HILL ACROSS FROM THE SIGN AND SPOTTED THE BIGFOOT. HE WAS ABOUT FIFTY FEET FROM ME SLIGHTLY UP THE HILL. ALL I SAW WAS THE BACK, SHOULDERS, HIPS AND TOP OF BUTTOCKS. IT WAS STILL AND HAD ITS BACK TO ME. THE HAIR COLOR WAS A LIGHTER SHADE OF RED AND SPARSE. I COULD SEE THE MUSCLES BENEATH THE HAIR. I TURNED THE CORNER AND DROVE DOWN THE ROAD, NOT WANTING TO DISTURB IT. I'VE GONE BACK TO THE SAME SPOT SINCE THEN LOOKING TO SEE IF THERE IS ANYTHING I COULD HAVER MISTAKEN FOR A BIGFOOT. THERE IS NOT!","Highway 29, North to Baker Lake Rd. Follow to Shannon Creek Campground Rd.",Skagit County,Washington,Summer,Report 10509: Large animal seen crouching near Baker Lake,43.74251,-121.6009,2004-06-15,10509,Class A,9rc8bghftd,64.79,51.675,38.56,33.04,0.53,NA,0.94,0.009,0.68,rain,NA,Clear throughout the day.,0,NA,19,1.7,2004
